               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.014196,           0.0099148,           0.0030684,             0.82113,             0.83286,             0.86132,             0.72542,            0.013384,            0.013127,           0.0097182,           0.0003466,           0.0003466,           0.0003466
                 101,             0.01418,           0.0098903,           0.0029831,              0.8228,             0.81571,             0.85495,             0.71977,            0.013377,            0.013097,            0.010084,             0.00034,             0.00034,             0.00034
                 102,            0.014107,            0.010028,           0.0029213,             0.81409,             0.81973,             0.84562,              0.7109,            0.013387,            0.013101,            0.010301,           0.0003334,           0.0003334,           0.0003334
                 103,            0.014113,           0.0098482,           0.0028287,              0.8055,             0.82016,              0.8404,             0.70715,            0.013356,            0.013066,            0.010464,           0.0003268,           0.0003268,           0.0003268
                 104,            0.013935,           0.0098382,           0.0028425,             0.80039,             0.82483,             0.84696,             0.71279,            0.013319,            0.013048,              0.0105,           0.0003202,           0.0003202,           0.0003202
                 105,            0.013985,           0.0097683,           0.0028209,             0.81282,             0.82801,             0.85294,             0.71802,             0.01335,            0.013065,            0.010064,           0.0003136,           0.0003136,           0.0003136
                 106,            0.013956,           0.0098453,           0.0027451,             0.83233,             0.83942,             0.86079,             0.72439,            0.013375,            0.013055,           0.0098976,            0.000307,            0.000307,            0.000307
                 107,            0.014171,            0.010037,           0.0028925,             0.82885,             0.83255,             0.86162,             0.72532,            0.013351,            0.013038,           0.0097584,           0.0003004,           0.0003004,           0.0003004
                 108,            0.013848,           0.0097398,           0.0027523,             0.81338,             0.81847,             0.85541,             0.72021,            0.013338,            0.013028,           0.0099819,           0.0002938,           0.0002938,           0.0002938
                 109,            0.013953,           0.0097245,            0.002892,             0.82276,             0.80981,             0.85292,             0.71813,            0.013359,            0.013048,            0.010051,           0.0002872,           0.0002872,           0.0002872
                 110,            0.013986,           0.0098415,           0.0026194,             0.79584,             0.82892,             0.84894,             0.71373,            0.013333,            0.013032,            0.010322,           0.0002806,           0.0002806,           0.0002806
                 111,            0.013812,           0.0097122,           0.0027054,             0.80614,              0.8299,             0.85173,              0.7174,            0.013327,            0.013024,            0.010267,            0.000274,            0.000274,            0.000274
                 112,            0.013892,           0.0097915,           0.0026592,             0.79865,             0.81372,             0.84271,             0.70791,            0.013348,            0.013032,            0.010635,           0.0002674,           0.0002674,           0.0002674
                 113,            0.013777,           0.0098248,           0.0025991,             0.79521,             0.81055,              0.8382,             0.70492,            0.013336,            0.013011,            0.010871,           0.0002608,           0.0002608,           0.0002608
                 114,             0.01377,           0.0095255,           0.0028517,             0.80684,             0.81219,             0.84367,             0.70982,            0.013342,            0.013019,            0.010612,           0.0002542,           0.0002542,           0.0002542
                 115,            0.013787,           0.0096371,           0.0027199,             0.80357,             0.81131,             0.84279,             0.70924,            0.013296,            0.012983,             0.01088,           0.0002476,           0.0002476,           0.0002476
                 116,            0.013727,           0.0095424,           0.0027135,             0.82221,             0.82916,             0.85498,             0.71956,            0.013315,            0.012998,            0.010316,            0.000241,            0.000241,            0.000241
                 117,            0.013861,           0.0096741,           0.0025982,              0.8273,             0.82547,             0.85535,             0.71969,            0.013271,            0.012971,            0.010281,           0.0002344,           0.0002344,           0.0002344
                 118,            0.013754,            0.009583,           0.0026148,             0.82541,             0.82763,             0.85754,             0.72184,            0.013289,            0.012964,            0.010285,           0.0002278,           0.0002278,           0.0002278
                 119,            0.013672,           0.0096876,           0.0025139,             0.81893,             0.81895,             0.84518,             0.71145,            0.013245,            0.012943,            0.010728,           0.0002212,           0.0002212,           0.0002212
                 120,              0.0136,           0.0095635,           0.0025051,             0.82821,             0.81334,             0.84629,             0.71257,            0.013255,            0.012945,            0.010795,           0.0002146,           0.0002146,           0.0002146
                 121,            0.013428,           0.0093767,           0.0024615,             0.81725,             0.81509,             0.84625,             0.71302,            0.013255,             0.01293,            0.010795,            0.000208,            0.000208,            0.000208
                 122,             0.01357,            0.009562,           0.0022977,             0.81312,             0.81677,             0.84851,             0.71518,             0.01327,            0.012926,             0.01081,           0.0002014,           0.0002014,           0.0002014
